X,Y,OBJECTID,TYPE,ADDRESS,WEBSITE,EXPLORE_YORK_URL
-1.070519328606765,53.973735983724367,737,Mobile Library,Heworth 1: Mistral Court,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.063967115087457,53.976974765252535,738,Mobile Library,Heworth 2: Monkton Road shops,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.059315195112794,53.970269307202138,739,Mobile Library,Heworth 4: Charles Moor,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.087219573719441,53.902273807132161,740,Mobile Library,Naburn 2: Vicarage Lane,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.091233131423774,53.902484006628669,741,Mobile Library,Naburn 1: River,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.089440371656661,53.902335605766389,742,Mobile Library,Naburn,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.197604118925635,53.95663062856385,743,Mobile Library,Rufforth,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.198011123030326,53.957657975548678,744,Mobile Library,Rufforth 1: Yew Tree Close,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.194077957273359,53.9553487156793,745,Mobile Library,Rufforth 2: The Tankard Inn,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.131055463437281,53.998959754489618,746,Mobile Library,Skelton,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.135465064866458,54.00039366505019,747,Mobile Library,Skelton 1: Skelton Social Club,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.130285694929493,53.999295731749037,748,Mobile Library,Skelton 3: Brecksfield,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.132456818453902,53.997594714524638,749,Mobile Library,Skelton 2: Fairfields Drive,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.002139451314166,53.995451247020057,750,Mobile Library,Stockton on the Forest,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.000185015242731,53.998077503363866,751,Mobile Library,Stockton on the Forest 2: School,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.994939022540416,53.999903282679149,752,Mobile Library,Stockton on the Forest 3: The Rectory,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.989812040185473,54.003096022030491,753,Mobile Library,Stockton on the Forest: Westfield House,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.000747597959599,53.993057844912286,754,Mobile Library,Stockton on the Forest 1: Stone Riggs,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.969859714784791,53.896569695692527,755,Mobile Library,Wheldrake 2: Cranbrooks,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.974288074821264,53.894711082237265,756,Mobile Library,Wheldrake 3: Valley View,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.962954552320081,53.896411391014659,757,Mobile Library,Wheldrake 5: White Rose House,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.965158141045235,53.894686679497646,758,Mobile Library,Wheldrake 4: Back Lane South,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.963522682441789,53.898052158120983,759,Mobile Library,Wheldrake 1: Courtneys,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-0.964264370374163,53.89636876585665,760,Mobile Library,Wheldrake,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.122603867863354,53.937986555355934,761,Mobile Library,Woodthorpe,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.12320341193219,53.935546177593189,762,Mobile Library,Woodthorpe 1: Moorcroft Road,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.129209650308955,53.937513304569819,763,Mobile Library,Woodthorpe 2: Ryecroft Avenue,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
-1.034765625208695,53.958614837614213,764,Mobile Library,Osbaldwick,http://www.york.gov.uk/homepage/26/libraries_and_archives,https://www.exploreyork.org.uk/mobile-library/
